Results for a query:  ministrstvo za javno upravo
Results found in: 96 ms

Frequency  Keywords                          Document                                           Snippets
16          javno + upravo + ministrstvo      podatki.gov.si\podatki.gov.si.511.html             Ministrstvo za javno upravo , ki je ... Ministrstvo za javno upravo & lt  ... javno upravo in Transp
10          ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.224.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za okolje in ... Ministrstvo za ob
10          ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.452.html                   Ministrstvo za javno upravo Republike Slovenije I ... ministrstvo , pristojno za ... Ministrstvo za
10          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.201.html             MINISTRSTVO ZA JAVNO UPRAVO ( 7 ) ... MINISTRSTVO ZA KULTURO ARHIV ... MINISTRSTVO ZA FINANCE URAD .
19          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.327.html             Ministrstvo za javno upravo smo tudi letos ... Ministrstvo za javno upravo : Novinarsko središče ...
20          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.374.html             MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - Uporabniki prorač
18          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.380.html             Ministrstvo za javno upravo objavi seznam ... ... MINISTRSTVO ZA JAVNO UPRAVO - Uporabniki proračuna
10          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.395.html             JAVNO UPRAVO MINISTRSTVO ZA IZOBRAŽEVANJE ,  ... MINISTRSTVO ZA PRAVOSODJE MINISTRSTVO ZA KULTURO AR
9           javno + ministrstvo + upravo      evem.gov.si\evem.gov.si.398.html                   Ministrstvo za javno upravo Republike Slovenije I ... javno objavo se šteje ... javno objavo prosteg
13          javno + ministrstvo + upravo      evem.gov.si\evem.gov.si.542.html                   Ministrstvo za javno upravo | Datum zadnje ... Ministrstvo za javno upravo Tržaška 21 SI-1000 ... Mi
9           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.140.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za zdravje Dejavnosti/storitve ...
13          ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.68.html                    Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za javno upravo , Organizacijski p
19          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.3.html               MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - Uporabniki prorač
19          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.36.html              MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - Uporabniki prorač
19          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.369.html             MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - Uporabniki prorač
